title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
AED952/month | 2018 Nissan Kicks S 1.6L | GCC Specifications | Ref#11957,"51,900",133079,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2018,Red, Dubai,S,nissan,kicks,30/04/2022
"4,410 / month | 0% Down Payment | Camaro SS / Full PPF / Chevrolet Warranty  Service Pack","219,000",8800,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Red, Dubai,SS,chevrolet,camaro,23/11/2021
LAND CRUISER VXR 5.7 full option  white color,"245,000",75000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,White, Dubai,VXR TOP,toyota,land-cruiser,18/04/2022
CHEVROLET TAHOE 2021 Z71 - GCC - UNDER WARRANTY - EXCELLENT CONDITION,"240,000",18000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021,White, Dubai,Z71,chevrolet,tahoe,2/11/2021
"Toyota Aurion 2013 - 3.5Ltr,  GCC , in excellent condition, single owner","40,000",115000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2013,Grey, Abu Dhabi,Other,toyota,aurion,13/05/2022
Nissan Tida,"13,500",170865,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2009,Gold, Dubai,SE,nissan,tiida,9/5/2022
LC 300 .. VX V 3.5 full option 2022,"369,000",0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Black, Dubai,Other,toyota,land-cruiser,13/03/2022
FORD TAURUS SEL MODEL 2013 GCC SPECS FULL OPTION,"24,500",240000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,SEL,ford,taurus,12/4/2022
HYUNDAI GENESIS MODEL 2014 - ZERO KM,"69,500",0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,Other,hyundai,genesis,11/4/2022
nissan armada,"115,500",40000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,500 - 600 HP,Gasoline,Left Hand Side,2019,Silver, Sharjah,SV,nissan,armada,14/02/2022
Rolls Royce Ghost EWB | 2019 - GCC - With Warranty - Service Contract | 6.6 - V12 Engine,"1,299,000",2430,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2019,White, Dubai,Extended Wheel Base,rolls-royce,ghost,16/02/2022
"2,610 P.M | 640i Convertible | 0% Downpayment | Low Mileage!","109,900",63000,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,640i,bmw,6-series,13/05/2022
AED6000/month | 2020 BMW 850i M Sport 4.4L | Full BMW Service History | GCC Specs | Ref#7144,"400,000",40391,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,White, Dubai,Other,bmw,8-series,27/02/2022
"BMW X6M Performance 2015 V8 4.4L GCC Specs, BMW Warranty + Service Package, Immaculate Condition","225,000",90000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Black, Dubai,X6M,bmw,x6,13/05/2022
2021 BRAND NEW MERCEDES BENZ GLC 200 COUPE - GCC - UNDER WARRANTY,"288,000",0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Other,mercedes-benz,glc,28/02/2022
Maserati Ghibli S 2014 GCC Specs For Sale (FSH / Accident Free / Single Owner),"77,000",110000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Burgundy, Dubai,Ghibli S,maserati,ghibli,12/5/2022
chevrolet silverado,"129,000",21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,White, Sharjah,1500 LT Z71,chevrolet,silverado,26/01/2022
"ASTON MARTIN DB9, 2015, GCC, FSH, IMMACULATE CONDITION","379,000",15000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2015,Gold, Dubai,Standard,aston-martin,db9,1/3/2021
2016 TOYOTA RAV4,"50,000",42871,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Red, Dubai,Other,toyota,rav-4,30/04/2022
